"","All.TMB","Coding.TMB","Expressed.NAg","CIN.Prop","HLA.LOH","HRD.LOH","HRD.TelomericAI","HRD.LST","HRD.sum","COL12A1","COL5A1","DNAH5","GATA3","HMCN1","MACF1","MAP3K1","MT-CO1","MT-CYB","MT-ND1","MT-ND4","MT-ND5","MUC16","MYO3A","NEB","PIK3CA","RYR1","RYR2","SPTA1","SYNE1","TP53","TTN"
"T043",38,24,12,0.140210397104535,0,2,8,0,10,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"T044",54,29,9,0.273570635410134,0,6,8,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"T045",45,17,11,0.257771839638693,0,7,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"T046",85,50,27,0.51030145177046,1,18,17,10,45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T047",75,41,8,0.241502888696443,1,5,6,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"T048",141,62,41,0.374833608808534,0,14,13,7,34,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T049",64,28,7,0.462051229481246,0,15,16,15,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"T050",50,32,19,0.244688689157607,0,7,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"T051",45,24,4,0.194015316138685,0,2,3,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"T052",69,40,13,0.338515324320341,0,4,11,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"T054",105,55,41,0.554070047776094,0,15,31,9,55,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"T056",57,33,4,0.865444706930217,1,2,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"T057",76,49,20,0.484670323709008,0,4,16,4,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"T058",19,6,1,0.211166682785848,0,4,4,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"T059",103,56,33,0.332325537422602,0,3,11,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"T060",150,72,19,0.525707135138142,0,8,27,22,57,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
"T061",58,34,17,0.216219669251321,1,3,5,0,8,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0
"T062",126,56,32,0.230860745556532,0,5,12,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
